YEAR,New York City,Los Angeles,Cook,Miami-Dade,Maricopa,Suffolk,Orange,Harris,Nassau,Dallas
24-Jan,0,0,1,0,0,0,0,0,0,0
25-Jan,0,0,1,0,0,0,1,0,0,0
26-Jan,0,1,1,0,1,0,1,0,0,0
27-Jan,0,1,1,0,1,0,1,0,0,0
28-Jan,0,1,1,0,1,0,1,0,0,0
29-Jan,0,1,1,0,1,0,1,0,0,0
30-Jan,0,1,2,0,1,0,1,0,0,0
31-Jan,0,1,2,0,1,0,1,0,0,0
1-Feb,0,1,2,0,1,1,1,0,0,0
2-Feb,0,1,2,0,1,1,1,0,0,0
3-Feb,0,1,2,0,1,1,1,0,0,0
4-Feb,0,1,2,0,1,1,1,0,0,0
5-Feb,0,1,2,0,1,1,1,0,0,0
6-Feb,0,1,2,0,1,1,1,0,0,0
7-Feb,0,1,2,0,1,1,1,0,0,0
8-Feb,0,1,2,0,1,1,1,0,0,0
9-Feb,0,1,2,0,1,1,1,0,0,0
10-Feb,0,1,2,0,1,1,1,0,0,0
11-Feb,0,1,2,0,1,1,1,0,0,0
12-Feb,0,1,2,0,1,1,1,0,0,0
13-Feb,0,1,2,0,1,1,1,0,0,0
14-Feb,0,1,2,0,1,1,1,0,0,0
15-Feb,0,1,2,0,1,1,1,0,0,0
16-Feb,0,1,2,0,1,1,1,0,0,0
17-Feb,0,1,2,0,1,1,1,0,0,0
18-Feb,0,1,2,0,1,1,1,0,0,0
19-Feb,0,1,2,0,1,1,1,0,0,0
20-Feb,0,1,2,0,1,1,1,0,0,0
21-Feb,0,1,2,0,1,1,1,0,0,0
22-Feb,0,1,2,0,1,1,1,0,0,0
23-Feb,0,1,2,0,1,1,1,0,0,0
24-Feb,0,1,2,0,1,1,1,0,0,0
25-Feb,0,1,2,0,1,1,1,0,0,0
26-Feb,0,1,2,0,1,1,1,0,0,0
27-Feb,0,1,2,0,1,1,1,0,0,0
28-Feb,0,1,2,0,1,1,1,0,0,0
29-Feb,0,1,3,0,1,1,1,0,0,0
1-Mar,1,1,3,0,1,1,1,0,0,0
2-Mar,1,1,4,0,1,1,1,0,0,0
3-Mar,2,1,4,0,2,1,3,0,0,0
4-Mar,2,7,4,0,2,1,3,0,0,0
5-Mar,4,11,5,0,2,1,3,4,1,0
6-Mar,5,13,6,0,2,4,3,5,4,0
7-Mar,12,14,6,0,2,4,3,5,4,0
8-Mar,14,14,7,0,2,10,3,6,5,0
9-Mar,20,19,11,0,2,11,5,6,17,0
10-Mar,37,20,17,0,2,21,5,7,20,2
11-Mar,52,28,22,1,3,26,6,7,29,3
12-Mar,96,32,27,2,3,43,7,9,42,8
13-Mar,155,40,40,8,3,55,17,10,52,9
14-Mar,269,53,51,8,4,68,21,11,80,12
15-Mar,330,69,76,13,4,78,25,13,99,15
16-Mar,464,94,76,23,8,105,38,13,110,15
17-Mar,646,144,107,43,9,126,51,16,132,26
18-Mar,1344,190,179,77,11,167,86,28,184,39
19-Mar,2477,231,279,101,22,250,125,35,383,61
20-Mar,4419,292,412,124,34,458,178,55,755,79
21-Mar,6226,351,548,170,49,770,276,68,1235,100
22-Mar,9065,421,805,228,81,1160,382,74,1901,138
23-Mar,12329,536,922,277,139,1612,570,79,2443,165
24-Mar,14943,662,1194,365,199,2114,714,135,2870,176
25-Mar,20061,799,1418,489,251,2602,930,186,3289,178
26-Mar,23182,1216,1904,653,299,3183,1147,204,3919,312
27-Mar,25509,1465,2239,869,399,4016,1435,230,4663,378
28-Mar,30919,1804,2613,1121,454,4981,1668,447,5544,456
29-Mar,33983,2136,3445,1471,546,5963,1980,529,6453,462
30-Mar,38375,2474,3728,1700,690,6906,2240,567,7351,572
31-Mar,43518,3011,4497,2123,791,8086,2484,683,8554,658
1-Apr,47914,3518,5153,2415,871,9229,2875,850,9566,761
2-Apr,52400,4045,5576,2885,961,10642,3299,900,10603,866
3-Apr,57941,4566,6474,3363,1049,12337,3773,1042,12043,961
4-Apr,64274,5277,7440,3889,1171,14757,4261,1290,13367,1056
5-Apr,68726,5940,8044,4145,1326,15591,4738,1402,14419,1155
6-Apr,73553,6360,8730,4670,1433,17402,5140,1819,15641,1198
7-Apr,78498,6910,9513,5125,1495,18806,5421,2158,16637,1305
8-Apr,83673,7530,10524,5460,1559,19444,5834,2356,18577,1368
9-Apr,89127,7955,11421,5897,1689,21454,6183,3064,20172,1481
10-Apr,94702,8430,12478,6299,1741,23226,6738,3280,21545,1587
11-Apr,100840,8873,13423,6757,1891,24809,7198,3580,22617,1698
12-Apr,105939,9192,14592,7057,1960,26175,7481,3649,23587,1777
13-Apr,109706,9420,15481,7458,2020,27222,7720,3769,24392,1841
14-Apr,113632,10047,16330,7711,2056,28334,8152,3930,25285,1934
15-Apr,121653,10496,17315,8066,2146,29557,8413,4124,26752,2049
16-Apr,126623,10854,18098,8325,2264,31002,8690,4340,27812,2132
17-Apr,131003,11391,19403,8823,2404,32307,9013,4496,28581,2258
18-Apr,135052,12021,20407,9044,2491,33839,9297,4692,29222,2394
19-Apr,138370,12341,21284,9353,2589,34962,9518,4865,30057,2501
20-Apr,140881,13816,22114,9656,2636,35976,9684,5022,30723,2593
21-Apr,143547,15140,23194,10055,2738,36823,9809,5187,31125,2689
22-Apr,146787,16435,24561,10152,2846,37914,10028,5260,31601,2775
23-Apr,150327,17508,25826,10587,2970,39306,10241,5385,32172,2862
